Date,Product,Sales,Revenue,Expenses,Inventory,Demand,Production,CashFlow
2024-01-15,Widget Alpha,1450,174000,94250,3200,1380,1520,79750
2024-01-15,Widget Beta,2100,178500,88200,4100,1980,2200,90300
2024-01-15,Gadget Pro,680,231200,129200,1450,650,720,102000
2024-01-15,Gadget Lite,3200,176000,89600,6200,3050,3350,86400
2024-01-15,Component X,920,193200,110400,2100,880,960,82800
2024-02-15,Widget Alpha,1520,182400,98800,3100,1450,1600,83600
2024-02-15,Widget Beta,2180,185300,91560,3950,2080,2280,93740
2024-02-15,Gadget Pro,710,241400,134900,1380,680,750,106500
2024-02-15,Gadget Lite,3350,184250,93800,5900,3180,3500,90450
2024-02-15,Component X,950,199500,114000,2050,910,990,85500
2024-03-15,Widget Alpha,1380,165600,91700,3400,1320,1450,73900
2024-03-15,Widget Beta,1950,165750,81900,4250,1860,2050,83850
2024-03-15,Gadget Pro,640,217600,121600,1520,610,680,96000
2024-03-15,Gadget Lite,2980,163900,83440,6400,2840,3120,80460
2024-03-15,Component X,880,184800,105600,2300,840,920,79200
2024-04-15,Widget Alpha,1610,193200,104650,2950,1540,1690,88550
2024-04-15,Widget Beta,2290,194650,95980,3800,2180,2400,98670
2024-04-15,Gadget Pro,750,255000,142500,1300,720,790,112500
2024-04-15,Gadget Lite,3520,193600,98560,5600,3350,3680,95040
2024-04-15,Component X,1010,212100,121200,1950,970,1060,90900
2024-05-15,Widget Alpha,1680,201600,109200,2800,1610,1760,92400
2024-05-15,Widget Beta,2380,202300,99960,3650,2270,2490,102340
2024-05-15,Gadget Pro,790,268600,150100,1250,760,830,118500
2024-05-15,Gadget Lite,3680,202400,103040,5300,3500,3850,99360
2024-05-15,Component X,1050,220500,126000,1850,1010,1100,94500
2024-06-15,Widget Alpha,1750,210000,113750,2700,1680,1830,96250
2024-06-15,Widget Beta,2470,209950,103740,3500,2360,2590,106210
2024-06-15,Gadget Pro,830,282200,157700,1200,800,870,124500
2024-06-15,Gadget Lite,3850,211750,107800,5050,3670,4030,103950
2024-06-15,Component X,1090,228900,130800,1750,1050,1140,98100
2024-07-15,Widget Alpha,1690,202800,109850,2900,1620,1770,92950
2024-07-15,Widget Beta,2390,203150,100380,3700,2280,2510,102770
2024-07-15,Gadget Pro,800,272000,152000,1280,770,840,120000
2024-07-15,Gadget Lite,3720,204600,104160,5250,3540,3890,100440
2024-07-15,Component X,1060,222600,127200,1900,1020,1110,95400
2024-08-15,Widget Alpha,1830,219600,118950,2550,1760,1910,100650
2024-08-15,Widget Beta,2560,217600,107520,3350,2450,2680,110080
2024-08-15,Gadget Pro,870,295800,165300,1150,840,910,130500
2024-08-15,Gadget Lite,3990,219450,109720,4850,3800,4180,109730
2024-08-15,Component X,1130,237300,135600,1650,1090,1180,101700
2024-09-15,Widget Alpha,1780,213600,115700,2750,1710,1860,97900
2024-09-15,Widget Beta,2480,210800,104160,3550,2370,2600,106640
2024-09-15,Gadget Pro,840,285600,159600,1220,810,880,126000
2024-09-15,Gadget Lite,3880,213400,106640,5050,3700,4060,106760
2024-09-15,Component X,1100,231000,132000,1800,1060,1150,99000
2024-10-15,Widget Alpha,1900,228000,123500,2450,1830,1980,104500
2024-10-15,Widget Beta,2650,225250,111300,3200,2540,2780,113950
2024-10-15,Gadget Pro,910,309400,172900,1100,880,950,136500
2024-10-15,Gadget Lite,4120,226600,113280,4700,3930,4320,113320
2024-10-15,Component X,1170,245700,140400,1550,1130,1220,105300
2024-11-15,Widget Alpha,1850,222000,120250,2650,1780,1930,101750
2024-11-15,Widget Beta,2570,218450,107940,3450,2460,2700,110510
2024-11-15,Gadget Pro,880,299200,167200,1180,850,920,132000
2024-11-15,Gadget Lite,4010,220550,110280,4950,3820,4200,110270
2024-11-15,Component X,1140,239400,136800,1700,1100,1190,102600
2024-12-15,Widget Alpha,1970,236400,128050,2350,1900,2050,108350
2024-12-15,Widget Beta,2740,232900,114940,3050,2630,2870,117960
2024-12-15,Gadget Pro,950,323000,180500,1050,920,990,142500
2024-12-15,Gadget Lite,4260,234300,115020,4550,4070,4460,119280
2024-12-15,Component X,1210,254100,145200,1450,1170,1260,108900
