Date,Product,Sales,Revenue,Expenses,Inventory,Demand,Production,CashFlow
2024-01-15,Widget Alpha,1450,174000,94250,3200,1380,1520,79750
2024-01-15,Widget Beta,2100,178500,88200,4100,1980,2200,90300
2024-01-15,Gadget Pro,680,231200,129200,1450,650,720,102000
2024-01-15,Gadget Lite,3200,176000,89600,6200,3050,3350,86400
2024-01-15,Component X,920,193200,110400,2100,880,960,82800
2024-02-15,Widget Alpha,1520,182400,98800,3100,1450,1600,83600
2024-02-15,Widget Beta,2180,185300,91560,3950,2080,2280,93740
2024-02-15,Gadget Pro,710,241400,134900,1380,680,750,106500
2024-02-15,Gadget Lite,3350,184250,93800,5900,3180,3500,90450
2024-02-15,Component X,950,199500,114000,2050,910,990,85500
2024-03-15,Widget Alpha,1380,165600,91700,3400,1320,1450,73900
2024-03-15,Widget Beta,1950,165750,81900,4250,1860,2050,83850
2024-03-15,Gadget Pro,640,217600,121600,1520,610,680,96000
2024-03-15,Gadget Lite,2980,163900,83440,6400,2840,3120,80460
2024-03-15,Component X,880,184800,105600,2300,840,920,79200
2024-04-15,Widget Alpha,1610,193200,104650,2950,1540,1690,88550
2024-04-15,Widget Beta,2290,194650,95980,3800,2180,2400,98670
2024-04-15,Gadget Pro,750,255000,142500,1300,720,790,112500
2024-04-15,Gadget Lite,3520,193600,98560,5600,3350,3680,95040
2024-04-15,Component X,1010,212100,121200,1950,970,1060,90900
2024-05-15,Widget Alpha,1680,201600,109200,2800,1610,1760,92400
2024-05-15,Widget Beta,2380,202300,99960,3650,2270,2490,102340
2024-05-15,Gadget Pro,790,268600,150100,1250,760,830,118500
2024-05-15,Gadget Lite,3680,202400,103040,5300,3500,3850,99360
2024-05-15,Component X,1050,220500,126000,1850,1010,1100,94500
2024-06-15,Widget Alpha,1750,210000,113750,2700,1680,1830,96250
2024-06-15,Widget Beta,2470,209950,103740,3500,2360,2590,106210
2024-06-15,Gadget Pro,830,282200,157700,1200,800,870,124500
2024-06-15,Gadget Lite,3850,211750,107800,5050,3670,4030,103950
2024-06-15,Component X,1090,228900,130800,1750,1050,1140,98100
2024-07-15,Widget Alpha,1620,194400,112000,2400,1720,1750,82400
2024-07-15,Widget Beta,2280,193800,101000,3100,2390,2490,92800
2024-07-15,Gadget Pro,760,258400,155800,1100,770,810,102600
2024-07-15,Gadget Lite,3580,196900,107400,4900,3490,3850,89500
2024-07-15,Component X,1020,214200,130600,1600,1030,1090,83600
2024-08-15,Widget Alpha,1480,177600,115800,1900,1680,1600,61800
2024-08-15,Widget Beta,2090,177650,103500,2600,2260,2310,74150
2024-08-15,Gadget Pro,690,234600,158700,950,750,740,75900
2024-08-15,Gadget Lite,3290,180950,106800,4100,3340,3580,74150
2024-08-15,Component X,940,197400,128600,1300,1000,1010,68800
2024-09-15,Widget Alpha,1310,157200,118000,1450,1650,1420,39200
2024-09-15,Widget Beta,1860,158100,105200,2100,2230,2080,52900
2024-09-15,Gadget Pro,610,207400,155900,800,730,660,51500
2024-09-15,Gadget Lite,2930,161150,104800,3300,3170,3210,56350
2024-09-15,Component X,850,178500,124700,1000,980,920,53800
2024-10-15,Widget Alpha,1140,136800,119000,1000,1620,1240,17800
2024-10-15,Widget Beta,1640,139400,106400,1600,2190,1840,33000
2024-10-15,Gadget Pro,530,180200,152300,650,710,570,27900
2024-10-15,Gadget Lite,2580,141900,102200,2500,3000,2820,39700
2024-10-15,Component X,760,159600,120000,750,950,820,39600
2024-11-15,Widget Alpha,980,117600,120000,600,1600,1080,-2400
2024-11-15,Widget Beta,1420,120700,107500,1100,2150,1590,13200
2024-11-15,Gadget Pro,460,156400,148600,500,690,490,7800
2024-11-15,Gadget Lite,2240,123200,99800,1900,2830,2440,23400
2024-11-15,Component X,670,140700,115000,550,920,720,25700
2024-12-15,Widget Alpha,820,98400,121000,350,1580,900,-22600
2024-12-15,Widget Beta,1190,101150,108200,800,2120,1330,-7050
2024-12-15,Gadget Pro,390,132600,145300,350,670,410,-12700
2024-12-15,Gadget Lite,1890,103950,97200,1400,2800,2050,6750
2024-12-15,Component X,570,119700,110000,400,900,610,9700
